datetime,baseline,e,n,u,distance_m,nominal_distance_m,q,ns,status
04/09/2026 13:05:05.000,5000-5001,0.2671,0.1052,0.0095,0.2872,0.28,1,14,normal
04/09/2026 13:05:05.000,5000-5002,-0.2581,-0.0768,0.0141,0.2697,0.28,1,14,normal
04/09/2026 13:05:06.000,5000-5001,0.2673,0.1051,0.0105,0.2874,0.28,1,14,normal
04/09/2026 13:05:06.000,5000-5002,-0.2588,-0.0768,0.0148,0.2704,0.28,1,14,normal
04/09/2026 13:05:07.000,5000-5002,-0.2606,-0.0783,0.0169,0.2726,0.28,1,14,normal
04/09/2026 13:05:07.000,5000-5001,0.2654,0.1029,0.0122,0.2849,0.28,1,14,normal
04/09/2026 13:05:08.000,5000-5002,-0.2602,-0.0767,0.0129,0.2716,0.28,1,14,normal
04/09/2026 13:05:08.000,5000-5001,0.2661,0.1046,0.0095,0.2861,0.28,1,14,normal
04/09/2026 13:05:09.000,5000-5002,-0.2598,-0.0781,0.0085,0.2714,0.28,1,14,normal
04/09/2026 13:05:09.000,5000-5001,0.2666,0.1049,0.0078,0.2866,0.28,1,14,normal
04/09/2026 13:05:10.000,5000-5001,0.2674,0.1049,0.0055,0.2873,0.28,1,14,normal
04/09/2026 13:05:10.000,5000-5002,-0.2591,-0.0776,0.0097,0.2706,0.28,1,14,normal
04/09/2026 13:05:11.000,5000-5001,0.2671,0.1055,0.0093,0.2873,0.28,1,14,normal
04/09/2026 13:05:11.000,5000-5002,-0.26,-0.0782,0.0152,0.2719,0.28,1,14,normal
04/09/2026 13:05:12.000,5000-5001,0.2667,0.1044,0.0068,0.2865,0.28,1,14,normal
04/09/2026 13:05:12.000,5000-5002,-0.2597,-0.0771,0.0115,0.2711,0.28,1,14,normal
04/09/2026 13:05:13.000,5000-5002,-0.2595,-0.0783,0.012,0.2713,0.28,1,14,normal
04/09/2026 13:05:13.000,5000-5001,0.266,0.105,0.01,0.2861,0.28,1,14,normal
04/09/2026 13:05:14.000,5000-5001,0.2664,0.1044,0.0088,0.2863,0.28,1,14,normal
04/09/2026 13:05:14.000,5000-5002,-0.2599,-0.0775,0.0127,0.2715,0.28,1,14,normal
04/09/2026 13:05:15.000,5000-5002,-0.2594,-0.0767,0.014,0.2709,0.28,1,14,normal
04/09/2026 13:05:15.000,5000-5001,0.2655,0.1035,0.0085,0.2851,0.28,1,14,normal
04/09/2026 13:05:16.000,5000-5001,0.2664,0.1045,0.0083,0.2863,0.28,1,14,normal
04/09/2026 13:05:16.000,5000-5002,-0.2598,-0.076,0.0116,0.2709,0.28,1,14,normal
04/09/2026 13:05:17.000,5000-5001,0.2671,0.1046,0.0078,0.287,0.28,1,14,normal
04/09/2026 13:05:17.000,5000-5002,-0.259,-0.0773,0.0095,0.2705,0.28,1,14,normal
04/09/2026 13:05:18.000,5000-5001,0.2654,0.1031,0.0089,0.2849,0.28,1,14,normal
04/09/2026 13:05:18.000,5000-5002,-0.2614,-0.0797,0.0139,0.2736,0.28,1,14,normal
04/09/2026 13:05:19.000,5000-5002,-0.2617,-0.0787,0.0102,0.2735,0.28,1,14,normal
04/09/2026 13:05:19.000,5000-5001,0.2653,0.1042,0.0096,0.2852,0.28,1,14,normal
04/09/2026 13:05:20.000,5000-5002,-0.2607,-0.0786,0.0101,0.2725,0.28,1,14,normal
04/09/2026 13:05:20.000,5000-5001,0.2667,0.1035,0.009,0.2862,0.28,1,14,normal
04/09/2026 13:05:21.000,5000-5001,0.2676,0.1038,0.0112,0.2872,0.28,1,14,normal
04/09/2026 13:05:21.000,5000-5002,-0.2596,-0.0775,0.0134,0.2713,0.28,1,14,normal
04/09/2026 13:05:22.000,5000-5002,-0.2582,-0.0757,0.015,0.2695,0.28,1,14,normal
04/09/2026 13:05:22.000,5000-5001,0.266,0.1045,0.0068,0.2859,0.28,1,14,normal
04/09/2026 13:05:23.000,5000-5002,-0.2599,-0.0783,0.0111,0.2717,0.28,1,14,normal
04/09/2026 13:05:23.000,5000-5001,0.2671,0.1071,0.0093,0.2879,0.28,1,14,normal
04/09/2026 13:05:24.000,5000-5001,0.2664,0.106,0.0048,0.2868,0.28,1,14,normal
04/09/2026 13:05:24.000,5000-5002,-0.2599,-0.077,0.0102,0.2713,0.28,1,14,normal
04/09/2026 13:05:25.000,5000-5001,0.2661,0.1066,0.0091,0.2868,0.28,1,14,normal
04/09/2026 13:05:25.000,5000-5002,-0.2612,-0.0764,0.0133,0.2725,0.28,1,14,normal
04/09/2026 13:05:26.000,5000-5001,0.268,0.1073,0.0058,0.2887,0.28,1,14,normal
04/09/2026 13:05:26.000,5000-5002,-0.2587,-0.0755,0.0111,0.2697,0.28,1,14,normal
04/09/2026 13:05:27.000,5000-5002,-0.2593,-0.077,0.0076,0.2706,0.28,1,14,normal
04/09/2026 13:05:27.000,5000-5001,0.2667,0.1059,0.0059,0.287,0.28,1,14,normal
04/09/2026 13:05:28.000,5000-5002,-0.2595,-0.0784,0.0076,0.2712,0.28,1,14,normal
04/09/2026 13:05:28.000,5000-5001,0.266,0.1042,0.0069,0.2858,0.28,1,14,normal
04/09/2026 13:05:29.000,5000-5002,-0.2587,-0.0769,0.0125,0.2702,0.28,1,14,normal
04/09/2026 13:05:29.000,5000-5001,0.2671,0.1053,0.009,0.2872,0.28,1,14,normal
04/09/2026 13:05:30.000,5000-5002,-0.2599,-0.0785,0.0102,0.2717,0.28,1,14,normal
04/09/2026 13:05:30.000,5000-5001,0.2653,0.1032,0.0077,0.2848,0.28,1,14,normal
04/09/2026 13:05:31.000,5000-5001,0.2674,0.106,0.005,0.2877,0.28,1,14,normal
04/09/2026 13:05:31.000,5000-5002,-0.2592,-0.0768,0.0101,0.2705,0.28,1,14,normal
04/09/2026 13:05:32.000,5000-5002,-0.2584,-0.0754,0.0102,0.2694,0.28,1,14,normal
04/09/2026 13:05:32.000,5000-5001,0.2676,0.1042,0.0071,0.2873,0.28,1,14,normal
04/09/2026 13:05:33.000,5000-5002,-0.2585,-0.0768,0.011,0.2699,0.28,1,14,normal
04/09/2026 13:05:33.000,5000-5001,0.2678,0.1054,0.0074,0.2879,0.28,1,14,normal
04/09/2026 13:05:34.000,5000-5001,0.2667,0.105,0.0071,0.2867,0.28,1,14,normal
04/09/2026 13:05:34.000,5000-5002,-0.2595,-0.0776,0.0088,0.271,0.28,1,14,normal
04/09/2026 13:05:35.000,5000-5002,-0.2597,-0.076,0.0106,0.2708,0.28,1,14,normal
04/09/2026 13:05:35.000,5000-5001,0.2666,0.1057,0.0085,0.2869,0.28,1,14,normal
04/09/2026 13:05:36.000,5000-5001,0.267,0.1039,0.0056,0.2866,0.28,1,14,normal
04/09/2026 13:05:36.000,5000-5002,-0.2587,-0.0774,0.0084,0.2702,0.28,1,14,normal
04/09/2026 13:05:37.000,5000-5001,0.265,0.1039,0.0098,0.2848,0.28,1,14,normal
04/09/2026 13:05:37.000,5000-5002,-0.2616,-0.0781,0.0109,0.2732,0.28,1,14,normal
04/09/2026 13:05:38.000,5000-5002,-0.2603,-0.076,0.0073,0.2713,0.28,1,14,normal
04/09/2026 13:05:38.000,5000-5001,0.2658,0.1064,0.0084,0.2864,0.28,1,14,normal
04/09/2026 13:05:39.000,5000-5002,-0.26,-0.0758,0.0073,0.2709,0.28,1,14,normal
04/09/2026 13:05:39.000,5000-5001,0.2661,0.1068,0.0074,0.2868,0.28,1,14,normal
04/09/2026 13:05:40.000,5000-5001,0.2659,0.105,0.0087,0.286,0.28,1,14,normal
04/09/2026 13:05:40.000,5000-5002,-0.2598,-0.0775,0.0094,0.2713,0.28,1,14,normal
04/09/2026 13:05:41.000,5000-5001,0.2662,0.1049,0.0068,0.2862,0.28,1,14,normal
04/09/2026 13:05:41.000,5000-5002,-0.2605,-0.0769,0.0061,0.2717,0.28,1,14,normal
04/09/2026 13:05:42.000,5000-5001,0.266,0.104,0.003,0.2856,0.28,1,14,normal
